id_objeto,titulo_original,cultura,periodo,clasificacion_original,nombre_objeto_original,material_original,url_objeto,url_imagen,motivo_filtrado,categoria_revision_v2,motivo_revision_v2,decision_auditoria,motivo_auditoria,observacion_auditoria,decision_sugerida
314615,Woven Sling Shot,Inca,,Textiles-Woven,Sling shot,Camelid hair,https://www.metmuseum.org/art/collection/search/314615,https://images.metmuseum.org/CRDImages/ao/original/250581.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['woven'] | evidencia cultural/geográfica andina: ['peru', 'inca']",secundario_artefacto_textil,artefacto textil funcional; conservar como secundario o revisar aparte,,,,pasar_a_corpus_secundario
318888,Headband,Inca,,Textiles-Woven,Headband,Camelid hair,https://www.metmuseum.org/art/collection/search/318888,https://images.metmuseum.org/CRDImages/ao/original/DP-13440-001.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['headband'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['headband'] | título contiene términos débiles asociados a fragmentos o paneles: ['band'] | evidencia cultural/geográfica andina: ['peru', 'inca']",revision_formato_longitudinal,formato longitudinal; revisar si aporta motivos útiles,,,,revisar_para_secundario_o_principal
315773,Sling Shot,Inca,,Textiles-Woven,Sling shot,Camelid hair,https://www.metmuseum.org/art/collection/search/315773,https://images.metmuseum.org/CRDImages/ao/original/250471.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | evidencia cultural/geográfica andina: ['peru', 'inca']",secundario_artefacto_textil,artefacto textil funcional; conservar como secundario o revisar aparte,,,,pasar_a_corpus_secundario
314528,Tunic with Diamond Band,Inca,,Textiles-Woven,Tunic,"Camelid hair, cotton",https://www.metmuseum.org/art/collection/search/314528,https://images.metmuseum.org/CRDImages/ao/original/DP107698.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | título contiene términos débiles asociados a fragmentos o paneles: ['band'] | evidencia cultural/geográfica andina: ['peru', 'inca']",candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,,,,revisar_para_corpus_principal
315708,Band Fragment,Inca,,Textiles-Woven,Textile fragment,"Cotton, camelid hair",https://www.metmuseum.org/art/collection/search/315708,https://images.metmuseum.org/CRDImages/ao/original/DP18703.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['textile'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment', 'band'] | evidencia cultural/geográfica andina: ['peru', 'inca']",candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,,,,revisar_para_corpus_principal
313324,Sleeveless Tunic,Inca,,Textiles-Woven,Tunic,"Cotton, camelid hair",https://www.metmuseum.org/art/collection/search/313324,https://images.metmuseum.org/CRDImages/ao/original/1979.206.1131_a.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'inca']",candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,,,,revisar_para_corpus_principal
314614,Cap Woven with Human Hair,Inca,,Textiles-Woven,Hat,"Camelid hair, human hair",https://www.metmuseum.org/art/collection/search/314614,https://images.metmuseum.org/CRDImages/ao/original/DP-30090-001.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['woven'] | evidencia cultural/geográfica andina: ['peru', 'inca']",revision_prenda_accesorio,prenda/accesorio textil; revisar si aporta patrón o iconografía,,,,revisar_para_secundario
308046,Embroidered Border Fragment,Paracas,,Textiles-Velvets,Border Fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308046,https://images.metmuseum.org/CRDImages/ao/original/DP18569.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['embroidered'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment', 'border'] | evidencia cultural/geográfica andina: ['peru', 'paracas']",candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,,,,revisar_para_corpus_principal
310511,Mantle Fragment,Paracas,,Textiles-Woven,Mantle fragment,"Cotton, pigment",https://www.metmuseum.org/art/collection/search/310511,https://images.metmuseum.org/CRDImages/ao/original/SC207345.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['mantle'] | material contiene fibras o soporte textil: ['cotton'] | título contiene términos textiles: ['mantle'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'paracas']",candidato_corpus_principal,pieza textil con superficie o composición potencialmente útil,,,,revisar_para_corpus_principal
307853,Embroidered Fragment,Paracas,,Textiles-Woven,Textile fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/307853,https://images.metmuseum.org/CRDImages/ao/original/DP18565.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['textile'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['embroidered'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'paracas']",candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,,,,revisar_para_corpus_principal
308056,Embroidered Fragment,Paracas,,Textiles-Woven,Textile fragment,Camelid hair,https://www.metmuseum.org/art/collection/search/308056,https://images.metmuseum.org/CRDImages/ao/original/DP18567.jpg,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['textile'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['embroidered'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment'] | evidencia cultural/geográfica andina: ['peru', 'paracas']",candidato_corpus_principal,fragmento textil potencialmente útil; requiere revisión visual,,,,revisar_para_corpus_principal
