source,institution,object_id,title,culture,period,object_date,country,region,subregion,locale,classification,department,medium,dimensions,credit_line,repository,object_url,primary_image,primary_image_small,is_public_domain,rights_and_reproduction,artist_display_name,artist_culture,tags,query_term
met,The Metropolitan Museum of Art,315772,Headband with ornamental tassels,Nasca,,6th–8th century,Peru,,,,Textiles-Woven,The Michael C. Rockefeller Wing,Camelid hair,H x W: 8 1/4 x 12in. (21 x 30.5cm),"Bequest of Jane Costello Goldberg, from the Collection of Arnold I. Goldberg, 1986","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/315772,https://images.metmuseum.org/CRDImages/ao/original/DP-26542-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-26542-001.jpg,True,,Nasca artist,,,Andean textile
met,The Metropolitan Museum of Art,316913,Chuspa (coca bag),Moche,,650-850 CE,Peru,,,,Textiles-Woven,The Michael C. Rockefeller Wing,"Cotton, camelid hair, and dye",H. 5 x W. 6 in. (12.7 x 15.2 cm),"Bequest of Arthur M. Bullowa, 1993","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/316913,https://images.metmuseum.org/CRDImages/ao/original/DP-41567-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-41567-001.jpg,True,,Moche artist(s),,Mythical Creatures,Andean textile
met,The Metropolitan Museum of Art,480831,Textile sample,,,,,,,,Textiles-Woven,Modern and Contemporary Art,Linen,24 1/4 × 15 1/2 in. (61.6 × 39.4 cm),"Gift of Anni Albers, 1970","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/480831,,,False,"© 2026 Artists Rights Society (ARS), New York",Anni Albers,,,Andean textile
met,The Metropolitan Museum of Art,315052,Effigy bottle,Wari,,650–1000 CE,Peru,,,,Ceramics-Containers,The Michael C. Rockefeller Wing,"Ceramic, slip",H. 15 1/2 × W. 10 × D. 8 1/2 in. (39.4 × 25.4 × 21.6 cm),"Purchase, Mary R. Morgan Gift, 1987","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/315052,https://images.metmuseum.org/CRDImages/ao/original/DP-24258-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-24258-001.jpg,True,,Wari artist(s),,,Andean textile
met,The Metropolitan Museum of Art,313148,Weaving Basket,Chancay,,12th–14th century,Peru,,,,Textiles-Implements,The Michael C. Rockefeller Wing,"Cane, shell, bone, fiber, camelid hair, wood, pigment, metal, stone",H. 22 1/2 x W. 7 1/2 x D. 4 5/8 in. (57.2 x 19.1 x 11.8 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/313148,https://images.metmuseum.org/CRDImages/ao/original/1979.206.950.1_a.JPG,https://images.metmuseum.org/CRDImages/ao/web-large/1979.206.950.1_a.JPG,True,,,,,Andean textile
met,The Metropolitan Museum of Art,314894,Square Cloth with Feathered Border,Chimú,,1200 – 1400 CE,Peru,,,,Textiles-Featherwork,The Michael C. Rockefeller Wing,"Feathers, camelid hair, cotton, wool",H x W: 12 x 2 3/8in. (30.5 x 6cm),"Bequest of Jane Costello Goldberg, from the Collection of Arnold I. Goldberg, 1986","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/314894,https://images.metmuseum.org/CRDImages/ao/original/DP230211.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP230211.jpg,True,,,,,Andean textile
met,The Metropolitan Museum of Art,308024,Embroidered bag with fringe,Nasca,,7th century,Peru,,,,Textiles-Woven,The Michael C. Rockefeller Wing,Camelid hair,W. 8 3/8 × L. 16 1/2 in. (21.26 × 41.91 cm),"Gift of George D. Pratt, 1932","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/308024,https://images.metmuseum.org/CRDImages/ao/original/DP-26535-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-26535-001.jpg,True,,Nasca artist,,,Andean textile
met,The Metropolitan Museum of Art,308022,Embroidered bag with fringe,Nasca,,7th century,Peru,,,,Textiles-Woven,The Michael C. Rockefeller Wing,Camelid hair,W. 7 1/4 x D.12 1/2 in. (18.42 x 31.75 cm),"Gift of George D. Pratt, 1932","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/308022,https://images.metmuseum.org/CRDImages/ao/original/DP-26534-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-26534-001.jpg,True,,Nasca artist,,,Andean textile
met,The Metropolitan Museum of Art,315700,Embroidered bag with fringe,Nasca,,7th century,Peru,,,,Textiles-Woven,The Michael C. Rockefeller Wing,Camelid hair,W. 6 in. × D. 14 1/4 in. (15.2 × 36.2 cm),"Bequest of Jane Costello Goldberg, from the Collection of Arnold I. Goldberg, 1986","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/315700,https://images.metmuseum.org/CRDImages/ao/original/DP-26541-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-26541-001.jpg,True,,Nasca artist,,,Andean textile
met,The Metropolitan Museum of Art,313267,Kero (beaker),Inca,,1400–1535 CE,Peru,,,,Wood-Containers,The Michael C. Rockefeller Wing,Wood,H. 6 1/8 × Diam. 4 3/4 in. (15.6 × 12.1 cm),"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/313267,https://images.metmuseum.org/CRDImages/ao/original/1979.206.1074.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/1979.206.1074.jpg,True,,Inca artist(s),,,Andean textile
met,The Metropolitan Museum of Art,315786,Shirt,Moche,,500–850 CE,Peru,Huarmey Valley(?),,,Textiles-Woven,The Michael C. Rockefeller Wing,"Camelid hair, cotton",H. 34 1/4 x W. 58 in. (87 x 147.3 cm),"Bequest of Jane Costello Goldberg, from the Collection of Arnold I. Goldberg, 1986","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/315786,https://images.metmuseum.org/CRDImages/ao/original/DT1269.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT1269.jpg,True,,Moche artist(s),,Animals,Peru textile
met,The Metropolitan Museum of Art,308402,Feathered Tunic,Chimú,,1400 - 1700 CE,Peru,,,,Feathers-Containers,The Michael C. Rockefeller Wing,"Cotton, feathers",H. 27 1/2 × W. 27 in. (69.9 × 68.6 cm),"Harris Brisbane Dick Fund, 1963","Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/308402,https://images.metmuseum.org/CRDImages/ao/original/DP214978.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP214978.jpg,True,,Chimú artist(s),,Birds,Peru textile
