id_fuente,corpus_actual,corpus_final,decision_revision,motivo_revision,observaciones_revision,revisor,fecha_revision,titulo_original,titulo_es_sugerido,cultura,fecha_objeto,procedencia,tipo_objeto,tipo_superficie,material,material_normalizado,tecnica,estado_curacion,destino_curacion,motivo_curacion,url_objeto,url_imagen,ruta_imagen_local,licencia,origen_curacion
307853,principal,principal,mantener,,,,,Embroidered Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/307853,https://images.metmuseum.org/CRDImages/ao/original/DP18565.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308056,principal,principal,mantener,,,,,Embroidered Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308056,https://images.metmuseum.org/CRDImages/ao/original/DP18567.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308106,principal,principal,mantener,,,,,Embroidered Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308106,https://images.metmuseum.org/CRDImages/ao/original/33.149.1-67-70-76.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308100,principal,principal,mantener,,,,,Embroidered Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308100,https://images.metmuseum.org/CRDImages/ao/original/DP18575_33.149.70.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
307682,principal,principal,mantener,,,,,Embroidered Border Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/307682,https://images.metmuseum.org/CRDImages/ao/original/DP170923.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308057,principal,principal,mantener,,,,,Embroidered Fragment with Figures,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308057,https://images.metmuseum.org/CRDImages/ao/original/DP18568.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308113,principal,principal,mantener,,,,,Embroidered Fragment with Figure,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308113,https://images.metmuseum.org/CRDImages/ao/original/DP18528.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308048,principal,principal,mantener,,,,,Embroidered Fragment with Figures,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308048,https://images.metmuseum.org/CRDImages/ao/original/DP18558.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
307852,principal,principal,mantener,,,,,Embroidered Mantle Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/307852,https://images.metmuseum.org/CRDImages/ao/original/DP18481.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308034,principal,principal,mantener,,,,,Embroidered Mantle Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/308034,https://images.metmuseum.org/CRDImages/ao/original/DP18571.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
307679,principal,principal,mantener,,,,,Embroidered Mantle Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/307679,https://images.metmuseum.org/CRDImages/ao/original/DP18487.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
