grupo_revision,id_objeto,titulo_original,cultura,clasificacion_original,material_original,puntaje_filtro,revision_visual,accion_sugerida,observaciones_revision,titulo_es_sugerido,periodo,pais,region,nombre_objeto_original,decision_filtro,estado_filtrado,motivo_filtrado,url_objeto,url_imagen,url_imagen_miniatura
aceptado_por_filtro,308024,Embroidered bag with fringe,Nasca,Textiles-Woven,Camelid hair,17,,,,Bolsa textil,,Peru,,Bag,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['embroidered', 'bag'] | evidencia cultural/geográfica andina: ['peru', 'nasca']",https://www.metmuseum.org/art/collection/search/308024,https://images.metmuseum.org/CRDImages/ao/original/DP-26535-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-26535-001.jpg
aceptado_por_filtro,308022,Embroidered bag with fringe,Nasca,Textiles-Woven,Camelid hair,17,,,,Bolsa textil,,Peru,,Bag,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['embroidered', 'bag'] | evidencia cultural/geográfica andina: ['peru', 'nasca']",https://www.metmuseum.org/art/collection/search/308022,https://images.metmuseum.org/CRDImages/ao/original/DP-26534-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-26534-001.jpg
aceptado_por_filtro,315700,Embroidered bag with fringe,Nasca,Textiles-Woven,Camelid hair,17,,,,Bolsa textil,,Peru,,Bag,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['bag'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['embroidered', 'bag'] | evidencia cultural/geográfica andina: ['peru', 'nasca']",https://www.metmuseum.org/art/collection/search/315700,https://images.metmuseum.org/CRDImages/ao/original/DP-26541-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-26541-001.jpg
aceptado_por_filtro,308078,"Border fragment, figures with staves",Paracas,Textiles-Woven,Camelid hair,7,,,,Fragmento textil,,Peru,,Fragment,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos débiles asociados a fragmentos o paneles: ['fragment', 'border'] | evidencia cultural/geográfica andina: ['peru', 'paracas'] | título sugiere objeto no textil: ['figure']",https://www.metmuseum.org/art/collection/search/308078,https://images.metmuseum.org/CRDImages/ao/original/DP-27315-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-27315-001.jpg
aceptado_por_filtro,318529,Tunic,Arica(?),Textiles-Woven,"Camelid hair, feathers",16,,,,Túnica textil,,Chile,,Tunic,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['tunic']",https://www.metmuseum.org/art/collection/search/318529,https://images.metmuseum.org/CRDImages/ao/original/DP-28476-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-28476-001.jpg
aceptado_por_filtro,307944,Sash,Chimú,Textiles-Woven,Camelid hair,17,,,,Faja textil,,Peru,,Sash,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['sash'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['sash'] | evidencia cultural/geográfica andina: ['peru', 'chimú', 'chimu']",https://www.metmuseum.org/art/collection/search/307944,https://images.metmuseum.org/CRDImages/ao/original/LC-28_171_7_TMSa.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/LC-28_171_7_TMSa.jpg
aceptado_por_filtro,312826,Miniature Dress,Ica,Textiles-Featherwork,"Cotton, feathers",10,,,,Objeto textil,,Peru,Ica Valley,Miniature dress,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | material contiene fibras o soporte textil: ['cotton'] | evidencia cultural/geográfica andina: ['peru']",https://www.metmuseum.org/art/collection/search/312826,https://images.metmuseum.org/CRDImages/ao/original/DP-28477-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-28477-001.jpg
aceptado_por_filtro,316892,Woman's Mantle (lliclla),Peruvian,Textiles-Woven,Camelid hair,17,,,,Manto textil,,Peru,,Mantle,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['mantle'] | material contiene fibras o soporte textil: ['camelid'] | título contiene términos textiles: ['mantle'] | evidencia cultural/geográfica andina: ['peru', 'peruvian']",https://www.metmuseum.org/art/collection/search/316892,https://images.metmuseum.org/CRDImages/ao/original/DT3832rev.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT3832rev.jpg
aceptado_por_filtro,315786,Shirt,Moche,Textiles-Woven,"Camelid hair, cotton",17,,,,Objeto textil,,Peru,Huarmey Valley(?),Shirt,aceptar,aceptado,"clasificación contiene evidencia textil: ['textile', 'textiles'] | nombre de objeto contiene términos textiles: ['shirt'] | material contiene fibras o soporte textil: ['cotton', 'camelid'] | título contiene términos textiles: ['shirt'] | evidencia cultural/geográfica andina: ['peru', 'moche']",https://www.metmuseum.org/art/collection/search/315786,https://images.metmuseum.org/CRDImages/ao/original/DT1269.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT1269.jpg
aceptado_por_filtro,308402,Feathered Tunic,Chimú,Feathers-Containers,"Cotton, feathers",12,,,,Túnica textil,,Peru,,Tunic,aceptar,aceptado,"nombre de objeto contiene términos textiles: ['tunic'] | material contiene fibras o soporte textil: ['cotton'] | título contiene términos textiles: ['tunic'] | evidencia cultural/geográfica andina: ['peru', 'chimú', 'chimu']",https://www.metmuseum.org/art/collection/search/308402,https://images.metmuseum.org/CRDImages/ao/original/DP214978.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP214978.jpg
